price,baths,land_size,beds,house_size,published_date,lon,lat,city,district,sqft_per_bed,house_land_ratio,baths_per_bed,price_per_house_size
28000000,4,10.0,4,2800.0,2021-11-17 15:45:00,79.989929153,6.877246442,athurugiriya,colombo,700.0,1.0284664830119377,1.0,10000.0
47000000,3,14.0,3,2800.0,2021-11-17 15:43:00,79.893438,6.877014,nugegoda,colombo,933.3333333333334,0.7346189164370982,1.0,16785.714285714286
8400000,1,15.0,3,3000.0,2021-11-17 15:43:00,80.16667,6.58333,kalutara city,kalutara,1000.0,0.7346189164370982,0.3333333333333333,2800.0
29500000,4,13.0,6,3800.0,2021-11-17 15:31:00,79.9652344733477,6.8413884190132,kottawa,colombo,633.3333333333334,1.0736738009465283,0.6666666666666666,7763.1578947368425
65000000,7,26.0,8,6000.0,2021-11-17 15:36:00,79.888881,6.790527,moratuwa,colombo,750.0,0.8476372112735749,0.875,10833.333333333334
39000000,5,13.98,5,4300.0,2021-11-17 15:29:00,79.922703356,6.801843915,piliyandala,colombo,860.0,1.1297787341486132,1.0,9069.767441860466
25000000,3,10.0,3,2200.0,2021-11-17 15:26:00,79.989929153,6.877246442,athurugiriya,colombo,733.3333333333334,0.8080808080808081,1.0,11363.636363636364
20500000,3,6.5,3,2000.0,2021-11-17 15:24:00,79.989929153,6.877246442,athurugiriya,colombo,666.6666666666666,1.1301829483647665,1.0,10250.0
14500000,3,6.0,3,1200.0,2021-11-17 15:23:00,79.989929153,6.877246442,athurugiriya,colombo,400.0,0.7346189164370982,1.0,12083.333333333334
21200000,3,6.25,4,2290.0,2021-11-17 15:18:00,79.913892,6.897711,battaramulla,colombo,572.5,1.3458218549127638,0.75,9257.64192139738
17800000,3,6.5,3,1800.0,2021-11-14 08:56:00,79.922703356,6.801843915,piliyandala,colombo,600.0,1.0171646535282899,1.0,9888.888888888889
19800000,2,8.0,4,1800.0,2021-11-17 15:17:00,79.909164319,6.903166337,kotte,colombo,450.0,0.8264462809917356,0.5,11000.0
25500000,3,13.5,5,2089.0,2021-11-15 15:10:00,79.894797,7.053406,kandana,gampaha,417.8,0.5683773764581845,0.6,12206.797510770704
27500000,4,11.5,4,2800.0,2021-11-17 15:13:00,79.954618877,6.904072342,malabe,colombo,700.0,0.8943186808799457,1.0,9821.42857142857
36000000,4,10.0,4,3600.0,2021-11-17 15:10:00,79.954618877,6.904072342,malabe,colombo,900.0,1.322314049586777,1.0,10000.0
3900000,1,13.0,2,600.0,2021-11-17 15:07:00,80.005841693,6.84848797,homagama,colombo,300.0,0.16952744225471497,0.5,6500.0
25000000,2,23.0,3,2200.0,2021-11-17 16:19:00,79.922703356,6.801843915,piliyandala,colombo,733.3333333333334,0.3513394817742644,0.6666666666666666,11363.636363636364
7500000,1,10.3,3,1800.0,2021-11-17 17:12:00,80.5,6.16667,matara city,matara,600.0,0.6419000240712509,0.3333333333333333,4166.666666666667
24800000,3,6.5,4,2800.0,2021-11-17 14:54:00,79.922703356,6.801843915,piliyandala,colombo,700.0,1.5822561277106733,0.75,8857.142857142857
34000000,4,8.5,4,3500.0,2021-11-17 14:52:00,79.922703356,6.801843915,piliyandala,colombo,875.0,1.5124507103116729,1.0,9714.285714285714
15000000,2,13.8,3,2500.0,2021-11-17 14:51:00,80.366868,7.486218,kurunegala city,kurunegala,833.3333333333334,0.665415685178531,0.6666666666666666,6000.0
89000000,1,15.0,3,1500.0,2021-11-17 14:42:00,80.005841693,6.84848797,homagama,colombo,500.0,0.3673094582185491,0.3333333333333333,59333.333333333336
12500000,2,10.0,3,1540.0,2021-11-17 14:41:00,80.005841693,6.84848797,homagama,colombo,513.3333333333334,0.5656565656565656,0.6666666666666666,8116.883116883117
19000000,3,11.4,4,1900.0,2021-11-17 14:41:00,79.954618877,6.904072342,malabe,colombo,475.0,0.6121824303642485,0.75,10000.0
79500000,1,7.0,3,1100.0,2021-11-17 14:40:00,80.005841693,6.84848797,homagama,colombo,366.6666666666667,0.5772005772005772,0.3333333333333333,72272.72727272728
12000000,1,20.0,3,1650.0,2021-11-17 14:40:00,80.005841693,6.84848797,homagama,colombo,550.0,0.30303030303030304,0.3333333333333333,7272.727272727273
14200000,2,7.86,3,1100.0,2021-11-17 14:39:00,79.954618877,6.904072342,malabe,colombo,366.6666666666667,0.514046315573033,0.6666666666666666,12909.09090909091
24500000,3,15.0,6,3500.0,2021-11-17 17:01:00,80.366868,7.486218,kurunegala city,kurunegala,583.3333333333334,0.857055402509948,0.5,7000.0
49000000,2,31.0,4,1900.0,2021-11-17 14:30:00,79.916392,7.031163,ragama,gampaha,475.0,0.22512515181136883,0.5,25789.473684210527
16800000,2,12.05,4,2750.0,2021-11-17 14:29:00,80.0,7.13333,ja-ela,gampaha,687.5,0.838258099668888,0.5,6109.090909090909
